id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,not_compliant,status,inactive_loans,emp_length_num,grade_num,sub_grade_num,delinq_2yrs_zero,pub_rec_zero,collections_12_mths_zero,short_emp,payment_inc_ratio,final_d,last_delinq_none,last_record_none,last_major_derog_none
19176853,21379534,4400,4400,4400, 36 months,18.99,161.27,E,E1,Project Support Specialist,4 years,RENT,50000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19176853,,debt_consolidation,Debt consolidation,221xx,VA,10.72,0.0,19940401T000000,1.0,55.0,,11.0,0.0,16228,76.9,36.0,w,0.0,0.0,4865.98,4865.98,4400.0,465.98,0.0,0.0,0.0,20150101T000000,3898.36,,20150201T000000,0.0,55.0,1,0,Fully Paid,1,5,2,0.2,1.0,1.0,1.0,0,3.87048,20170601T000000,0,1,0
19146871,21349573,12800,12800,12800, 36 months,13.98,437.35,C,C3,Federal agent,6 years,RENT,120000.0,Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19146871,,debt_consolidation,Debt consolidation,919xx,CA,21.77,0.0,20020301T000000,1.0,,,14.0,0.0,32340,85.1,22.0,w,0.0,0.0,13643.6,13643.6,12800.0,843.56,0.0,0.0,0.0,20141201T000000,11456.8,,20150201T000000,0.0,,1,0,Fully Paid,1,7,4,0.6,1.0,1.0,1.0,0,4.3735,20170601T000000,1,1,1
19186747,21389431,10000,10000,10000, 36 months,10.99,327.34,B,B3,AP supervisor ,2 years,RENT,42000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19186747,,debt_consolidation,Debt consolidation,331xx,FL,24.04,0.0,20041201T000000,0.0,24.0,,12.0,0.0,8148,66.2,26.0,w,0.0,0.0,10595.0,10595.0,10000.0,595.05,0.0,0.0,0.0,20150101T000000,8631.01,,20150201T000000,0.0,73.0,1,0,Fully Paid,1,3,5,0.6,1.0,1.0,1.0,0,9.35257,20170601T000000,0,1,0
19146917,21349619,24500,24500,24500, 36 months,6.03,745.68,A,A1,DIPLOMAT,4 years,RENT,75000.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19146917,,credit_card,Credit card refinancing,103xx,NY,17.91,0.0,20030801T000000,1.0,,,16.0,0.0,4159,3.6,25.0,f,0.0,0.0,25084.1,25084.1,24500.0,584.13,0.0,0.0,0.0,20141101T000000,22101.4,,20141101T000000,0.0,,1,0,Fully Paid,1,5,6,0.2,1.0,1.0,1.0,0,11.9309,20170601T000000,1,1,1
19196696,21399394,27000,27000,27000, 36 months,7.12,835.17,A,A3,Senior Consultant,4 years,MORTGAGE,110000.0,Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19196696,,debt_consolidation,Debt consolidation,220xx,VA,19.98,0.0,20010801T000000,2.0,,,10.0,0.0,9175,30.9,23.0,f,0.0,0.0,28168.1,28168.1,27000.0,1168.13,0.0,0.0,0.0,20150201T000000,22321.9,,20150201T000000,0.0,,1,0,Fully Paid,1,5,6,0.6,1.0,1.0,1.0,0,9.11095,20170601T000000,1,1,1
19126792,21329494,10475,10475,10475, 36 months,20.99,394.6,E,E4,Plumber,8 years,RENT,35000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19126792,,debt_consolidation,Debt consolidation,067xx,CT,17.83,0.0,20060901T000000,0.0,,,6.0,0.0,10748,77.3,10.0,w,0.0,0.0,11353.5,11353.5,10475.0,878.5,0.0,0.0,0.0,20141101T000000,9775.1,,20141201T000000,0.0,,1,0,Fully Paid,1,9,2,0.8,1.0,1.0,1.0,0,13.5291,20170601T000000,1,1,1
19086815,12956895,8000,8000,8000, 36 months,15.61,279.72,D,D1,Pharmacy tech,10+ years,MORTGAGE,43000.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19086815,,home_improvement,Home improvement,011xx,MA,29.42,0.0,19990301T000000,2.0,,,11.0,0.0,19940,58.0,19.0,w,0.0,0.0,8104.07,8104.07,8000.0,104.07,0.0,0.0,0.0,20140701T000000,8104.07,,20150201T000000,0.0,,1,0,Fully Paid,1,11,3,0.2,1.0,1.0,1.0,0,7.806139999999999,20170601T000000,1,1,1
19126641,21329352,24925,24925,24925, 60 months,20.2,663.14,E,E3,faculty,4 years,MORTGAGE,80000.0,Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19126641,,debt_consolidation,Debt consolidation,982xx,WA,28.97,1.0,19990501T000000,2.0,6.0,,14.0,0.0,19531,77.5,45.0,w,0.0,0.0,25344.6,25344.6,24925.0,419.58,0.0,0.0,0.0,20140701T000000,25344.6,,20150201T000000,0.0,,1,0,Fully Paid,1,5,2,0.6,0.0,1.0,1.0,0,9.9471,20190601T000000,0,1,1
19076830,21279512,3600,3600,3600, 36 months,23.43,140.17,F,F1,Letter Carrier,10+ years,OWN,57073.0,Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19076830,,other,Other,902xx,CA,14.36,1.0,20011001T000000,1.0,17.0,,9.0,0.0,7340,66.7,18.0,f,0.0,0.0,4000.74,4000.74,3600.0,400.74,0.0,0.0,0.0,20141201T000000,3299.89,,20150201T000000,0.0,29.0,1,0,Fully Paid,1,11,1,0.2,0.0,1.0,1.0,0,2.9471700000000003,20170601T000000,0,1,0
19015565,21158231,10375,10375,10375, 60 months,18.24,264.82,D,D5,Secretary,10+ years,MORTGAGE,29100.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19015565,,home_improvement,Home improvement,553xx,MN,30.6,0.0,19971101T000000,1.0,,52.0,11.0,1.0,4373,32.2,46.0,w,0.0,0.0,10843.2,10843.2,10375.0,468.2,0.0,0.0,0.0,20140901T000000,10313.6,,20140901T000000,0.0,,1,0,Fully Paid,1,11,3,1.0,1.0,0.0,1.0,0,10.9204,20190601T000000,1,0,1
19116844,21319548,16000,16000,16000, 36 months,15.61,559.44,D,D1,CPS,9 years,MORTGAGE,70000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19116844,,debt_consolidation,Debt consolidation,114xx,NY,20.37,2.0,20020901T000000,2.0,6.0,,15.0,0.0,36977,85.2,43.0,w,0.0,0.0,16804.9,16804.9,16000.0,804.88,0.0,0.0,0.0,20141001T000000,15126.6,,20141001T000000,0.0,9.0,1,0,Fully Paid,1,10,3,0.2,0.0,1.0,1.0,0,9.5904,20170601T000000,0,1,0
19106686,21309373,10000,10000,10000, 36 months,18.24,362.73,D,D5,Letter carrier,10+ years,MORTGAGE,58000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19106686,,home_improvement,Home improvement,494xx,MI,7.45,5.0,19910601T000000,3.0,4.0,,10.0,0.0,6429,48.8,29.0,w,0.0,0.0,11093.5,11093.5,10000.0,1093.55,0.0,0.0,0.0,20150101T000000,8917.17,,20150201T000000,0.0,,1,0,Fully Paid,1,11,3,1.0,0.0,1.0,1.0,0,7.504760000000001,20170601T000000,0,1,1
19096707,21299404,10000,10000,10000, 36 months,10.99,327.34,B,B3,,,MORTGAGE,38500.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19096707,,credit_card,Credit card refinancing,546xx,WI,24.38,0.0,20010901T000000,0.0,43.0,113.0,10.0,1.0,5542,49.0,31.0,w,0.0,0.0,10688.3,10688.3,10000.0,688.3,0.0,0.0,0.0,20150201T000000,8396.92,,20150201T000000,0.0,,1,0,Fully Paid,1,0,5,0.6,1.0,0.0,1.0,1,10.2028,20170601T000000,0,0,1
16462445,18544915,13000,13000,13000, 36 months,19.52,479.96,E,E2,Sr Credit Manager,7 years,OWN,175000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=16462445,,other,Other,801xx,CO,13.75,0.0,19910301T000000,2.0,,,19.0,0.0,46677,74.9,52.0,f,0.0,0.0,13621.2,13621.2,13000.0,621.23,0.0,0.0,0.0,20140901T000000,12661.3,,20140901T000000,0.0,,1,0,Fully Paid,1,8,2,0.4,1.0,1.0,1.0,0,3.29115,20170601T000000,1,1,1
17743567,19876096,16500,16500,16500, 60 months,24.08,475.44,F,F2,quality assurance,3 years,MORTGAGE,110000.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=17743567,,debt_consolidation,Debt consolidation,210xx,MD,7.02,1.0,20031101T000000,1.0,23.0,112.0,30.0,3.0,14227,61.1,45.0,f,0.0,0.0,16831.1,16831.1,16500.0,331.1,0.0,0.0,0.0,20140701T000000,16831.1,,20141101T000000,0.0,23.0,1,0,Fully Paid,1,4,1,0.4,0.0,0.0,1.0,0,5.18662,20190601T000000,0,0,0
19176752,21379438,18000,18000,18000, 60 months,13.35,412.79,C,C2,store manager,10+ years,MORTGAGE,50000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19176752,,debt_consolidation,Debt consolidation,251xx,WV,16.18,1.0,19970901T000000,2.0,5.0,115.0,10.0,1.0,6963,38.9,28.0,f,0.0,0.0,18786.7,18786.7,18000.0,786.71,0.0,0.0,0.0,20141001T000000,17548.3,,20141101T000000,0.0,,1,0,Fully Paid,1,11,4,0.4,0.0,0.0,1.0,0,9.90696,20190601T000000,0,0,1
19206682,21409392,7000,7000,7000, 36 months,12.49,234.15,B,B5,Substance Abuse Counselor,8 years,MORTGAGE,51000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19206682,,debt_consolidation,Debt consolidation,083xx,NJ,13.98,0.0,19990201T000000,0.0,68.0,40.0,12.0,1.0,8776,60.5,37.0,f,0.0,0.0,7411.62,7411.62,7000.0,411.62,0.0,0.0,0.0,20141201T000000,6240.87,,20150201T000000,0.0,,1,0,Fully Paid,1,9,5,1.0,1.0,0.0,1.0,0,5.50941,20170601T000000,0,0,1
19196632,21399332,6000,6000,6000, 36 months,12.49,200.7,B,B5,Corrections Officer,1 year,RENT,52000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19196632,,debt_consolidation,Debt consolidation,104xx,NY,14.01,0.0,20100901T000000,2.0,,,8.0,0.0,4497,36.0,9.0,f,0.0,0.0,6123.46,6123.46,6000.0,123.46,0.0,0.0,0.0,20140801T000000,5922.76,,20150101T000000,0.0,,1,0,Fully Paid,1,2,5,1.0,1.0,1.0,1.0,0,4.63154,20170601T000000,1,1,1
19156341,21359049,18450,18450,18450, 36 months,7.12,570.7,A,A3,Assistant Production Coordinator ,< 1 year,OWN,41000.0,Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19156341,,debt_consolidation,Debt consolidation,083xx,NJ,18.35,0.0,20041001T000000,0.0,,,17.0,0.0,3580,20.0,23.0,w,0.0,0.0,18770.2,18770.2,18450.0,320.18,0.0,0.0,0.0,20140901T000000,17628.8,,20141001T000000,0.0,,1,0,Fully Paid,1,1,6,0.6,1.0,1.0,1.0,1,16.7034,20170601T000000,1,1,1
19186644,21389335,20000,20000,19875, 36 months,8.39,630.34,A,A5,bus operator ,10+ years,RENT,70000.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19186644,,debt_consolidation,Debt consolidation,114xx,NY,20.57,1.0,20000601T000000,1.0,23.0,,11.0,0.0,7132,26.2,31.0,f,0.0,0.0,21043.6,20912.1,20000.0,1043.64,0.0,0.0,0.0,20150201T000000,16631.3,,20150201T000000,0.0,,1,0,Fully Paid,1,11,6,1.0,0.0,1.0,1.0,0,10.8058,20170601T000000,0,1,1
19186666,18284145,20000,20000,20000, 60 months,24.5,581.18,F,F3,Director of Equal Opportunity,10+ years,MORTGAGE,135500.0,Verified,20140601T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19186666,,debt_consolidation,Debt consolidation,604xx,IL,25.14,0.0,19791101T000000,0.0,,,26.0,0.0,23385,60.3,63.0,w,0.0,0.0,2324.72,2324.72,712.85,1611.87,0.0,0.0,0.0,20141001T000000,581.18,,20150201T000000,0.0,,1,0,Charged Off,1,11,1,0.6,1.0,1.0,1.0,0,5.14698,20190601T000000,1,1,1
19206626,21409337,5000,5000,5000, 36 months,16.99,178.24,D,D3,Clerk,10+ years,MORTGAGE,55000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19206626,,debt_consolidation,Debt consolidation,606xx,IL,28.74,0.0,19900201T000000,2.0,27.0,,15.0,0.0,19746,69.3,29.0,w,0.0,0.0,5070.8,5070.8,5000.0,70.8,0.0,0.0,0.0,20140701T000000,5070.8,,20140701T000000,0.0,,1,0,Fully Paid,1,11,3,0.6,1.0,1.0,1.0,0,3.88887,20170601T000000,0,1,1
19206663,21409375,8000,8000,8000, 36 months,12.99,269.52,C,C1,Enrollment Analyst,6 years,MORTGAGE,58000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19206663,,debt_consolidation,Debt consolidation,945xx,CA,17.46,0.0,20080601T000000,2.0,,,13.0,0.0,5479,37.5,15.0,w,0.0,0.0,8534.11,8534.11,8000.0,534.11,0.0,0.0,0.0,20150101T000000,7186.51,,20150201T000000,0.0,,1,0,Fully Paid,1,7,4,0.2,1.0,1.0,1.0,0,5.576280000000001,20170601T000000,1,1,1
17352796,19475346,5725,5725,5725, 36 months,14.99,198.44,C,C5,,,MORTGAGE,40594.0,Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=17352796,,home_improvement,Home improvement,463xx,IN,2.75,0.0,19890601T000000,4.0,,36.0,3.0,1.0,2062,52.0,23.0,w,0.0,0.0,6235.6,6235.6,5725.0,510.6,0.0,0.0,0.0,20150101T000000,5044.96,,20150201T000000,0.0,33.0,1,0,Fully Paid,1,0,4,1.0,1.0,0.0,1.0,1,5.86609,20170601T000000,1,0,0
7286901,8928958,10725,10725,10725, 36 months,7.69,334.56,A,A4,Business Systems Analyst II,10+ years,MORTGAGE,74400.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7286901,,debt_consolidation,Debt consolidation,534xx,WI,31.84,0.0,19960901T000000,0.0,,,11.0,0.0,16174,48.6,20.0,w,0.0,0.0,11051.5,11051.5,10725.0,326.51,0.0,0.0,0.0,20141101T000000,9713.27,,20141101T000000,0.0,,1,0,Fully Paid,1,11,6,0.8,1.0,1.0,1.0,0,5.39613,20170601T000000,1,1,1
18935889,21168505,14400,14400,14400, 36 months,16.99,513.33,D,D3,Bridge Crane Supervisor,10+ years,MORTGAGE,65000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=18935889,,home_improvement,Home improvement,170xx,PA,19.74,1.0,19980901T000000,1.0,18.0,,8.0,0.0,16904,77.2,14.0,w,0.0,0.0,14998.4,14998.4,14400.0,598.43,0.0,0.0,0.0,20140901T000000,13971.8,,20150201T000000,0.0,,1,0,Fully Paid,1,11,3,0.6,0.0,1.0,1.0,0,9.47686,20170601T000000,0,1,1
18535383,20698064,16250,16250,16250, 36 months,14.49,559.27,C,C4,Assistant Director of Financial Aid,6 years,RENT,80000.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=18535383,,credit_card,Credit card refinancing,104xx,NY,14.05,0.0,19970301T000000,1.0,,,29.0,0.0,23165,64.0,56.0,f,0.0,0.0,17360.5,17360.5,16250.0,1110.49,0.0,0.0,0.0,20141201T000000,14564.1,,20150201T000000,0.0,,1,0,Fully Paid,1,7,4,0.8,1.0,1.0,1.0,0,8.38905,20170601T000000,1,1,1
18915998,21098596,16000,16000,16000, 60 months,14.49,376.37,C,C4,LPN,10+ years,MORTGAGE,50000.0,Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=18915998,,home_improvement,Home improvement,194xx,PA,22.01,1.0,19980101T000000,2.0,2.0,,26.0,0.0,11746,20.6,40.0,f,0.0,0.0,16572.9,16572.9,16000.0,572.94,0.0,0.0,0.0,20140901T000000,15820.2,,20140801T000000,0.0,,1,0,Fully Paid,1,11,4,0.8,0.0,1.0,1.0,0,9.03288,20190601T000000,0,1,1
19126451,21329169,15000,15000,15000, 36 months,13.35,507.95,C,C2,WAREHOUSE TECHNITIAN,10+ years,MORTGAGE,37960.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19126451,,debt_consolidation,Debt consolidation,767xx,TX,10.91,0.0,20020301T000000,0.0,24.0,,9.0,0.0,11127,46.0,31.0,f,0.0,0.0,15644.6,15644.6,15000.0,644.56,0.0,0.0,0.0,20141001T000000,14120.7,,20141101T000000,0.0,53.0,1,0,Fully Paid,1,11,4,0.4,1.0,1.0,1.0,0,16.0574,20170601T000000,0,1,0
19186560,21389256,22000,22000,21950, 60 months,20.2,585.32,E,E3,porter,10+ years,RENT,73500.0,Source Verified,20140701T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19186560,,debt_consolidation,Debt consolidation,070xx,NJ,15.31,0.0,19960501T000000,3.0,29.0,43.0,13.0,1.0,13549,72.5,25.0,f,0.0,0.0,22737.0,22685.4,22000.0,737.05,0.0,0.0,0.0,20140901T000000,22151.7,,20150201T000000,0.0,79.0,1,0,Fully Paid,1,11,2,0.6,1.0,0.0,1.0,0,9.55624,20190701T000000,0,0,0
19166446,21369154,30000,30000,30000, 36 months,11.67,991.71,B,B4,RN,5 years,RENT,125000.0,Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19166446,,debt_consolidation,Debt consolidation,921xx,CA,20.18,1.0,19930201T000000,1.0,16.0,,21.0,0.0,12156,27.1,35.0,w,0.0,0.0,31390.0,31390.0,30000.0,1390.01,0.0,0.0,0.0,20141101T000000,27423.2,,20141201T000000,0.0,16.0,1,0,Fully Paid,1,6,5,0.8,0.0,1.0,1.0,0,9.52042,20170601T000000,0,1,0
19165709,21368449,11625,11625,11625, 60 months,14.99,276.5,C,C5,Chauffer,5 years,RENT,40000.0,Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19165709,,debt_consolidation,Debt consolidation,902xx,CA,8.25,0.0,20040601T000000,0.0,73.0,,14.0,0.0,6204,20.9,25.0,w,0.0,0.0,11770.2,11770.2,11625.0,145.22,0.0,0.0,0.0,20140701T000000,11770.2,,20140701T000000,0.0,73.0,1,0,Fully Paid,1,6,4,1.0,1.0,1.0,1.0,0,8.295,20190601T000000,0,1,0
19136567,21339262,13775,13775,13725, 36 months,10.99,450.92,B,B3,Recruitment Associate,1 year,RENT,44720.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19136567,,debt_consolidation,Debt consolidation,200xx,DC,27.43,0.0,20020101T000000,0.0,,,20.0,0.0,6648,39.8,32.0,f,0.0,0.0,13901.2,13850.7,13775.0,126.16,0.0,0.0,0.0,20140701T000000,13901.2,,20150201T000000,0.0,,1,0,Fully Paid,1,2,5,0.6,1.0,1.0,1.0,0,12.0998,20170601T000000,1,1,1
19116665,21319369,8000,8000,8000, 36 months,12.49,267.6,B,B5,Inspection ,10+ years,RENT,60000.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19116665,,debt_consolidation,Debt consolidation,480xx,MI,10.3,1.0,19940501T000000,0.0,21.0,62.0,5.0,1.0,3967,49.6,15.0,f,0.0,0.0,8396.95,8396.95,8000.0,396.95,0.0,0.0,0.0,20141101T000000,7326.55,,20141101T000000,0.0,,1,0,Fully Paid,1,11,5,1.0,0.0,0.0,1.0,0,5.352,20170601T000000,0,0,1
